transaction_id,customer_id,transaction_date,amount,tax_rate,category,region,compliance_status,payment_method
TXN001,CUST1001,2024-01-15,15000.50,0.18,Software License,North,Compliant,Credit Card
TXN002,CUST1002,2024-01-16,25000.00,0.18,Consulting,South,Compliant,Bank Transfer
TXN003,CUST1003,2024-01-17,,0.18,Hardware,East,Pending,Cash
TXN004,CUST1004,2024-01-18,8500.75,0.12,Training,West,Compliant,Credit Card
TXN005,CUST1005,2024-01-19,45000.00,0.18,Software License,North,Non-Compliant,Bank Transfer
TXN006,CUST1006,2024-01-20,12000.00,,Support Services,South,Compliant,Credit Card
TXN007,CUST1001,2024-01-21,15000.50,0.18,Software License,North,Compliant,Credit Card
TXN008,CUST1007,2024-01-22,95000.00,0.18,Consulting,East,Compliant,Bank Transfer
TXN009,CUST1008,2024-01-23,3500.00,0.12,Training,West,Pending,Cash
TXN010,CUST1009,2024-01-24,18000.00,0.18,Hardware,North,Compliant,Credit Card
TXN011,CUST1010,2024-01-25,,0.18,Software License,South,Compliant,Bank Transfer
TXN012,CUST1011,2024-01-26,22000.00,0.18,Consulting,East,Non-Compliant,Credit Card
TXN013,CUST1012,2024-01-27,5500.00,0.12,Training,West,Compliant,Cash
TXN014,CUST1013,2024-01-28,35000.00,0.18,Support Services,North,Compliant,Bank Transfer
TXN015,CUST1014,2024-01-29,28000.00,0.18,Hardware,South,Pending,Credit Card
TXN016,CUST1015,2024-01-30,16500.00,0.18,Software License,East,Compliant,Bank Transfer
TXN017,CUST1016,2024-02-01,42000.00,,Consulting,West,Compliant,Credit Card
TXN018,CUST1017,2024-02-02,7200.00,0.12,Training,North,Compliant,Cash
TXN019,CUST1018,2024-02-03,52000.00,0.18,Software License,South,Non-Compliant,Bank Transfer
TXN020,CUST1019,2024-02-04,14500.00,0.18,Hardware,East,Compliant,Credit Card
TXN021,CUST1020,2024-02-05,38000.00,0.18,Consulting,West,Compliant,Bank Transfer
TXN022,CUST1021,2024-02-06,,0.12,Training,North,Pending,Cash
TXN023,CUST1022,2024-02-07,25500.00,0.18,Support Services,South,Compliant,Credit Card
TXN024,CUST1023,2024-02-08,19000.00,0.18,Hardware,East,Compliant,Bank Transfer
TXN025,CUST1024,2024-02-09,31000.00,0.18,Software License,West,Compliant,Credit Card
TXN026,CUST1025,2024-02-10,48000.00,0.18,Consulting,North,Non-Compliant,Bank Transfer
TXN027,CUST1026,2024-02-11,6800.00,0.12,Training,South,Compliant,Cash
TXN028,CUST1027,2024-02-12,21000.00,,Hardware,East,Compliant,Credit Card
TXN029,CUST1028,2024-02-13,36000.00,0.18,Software License,West,Compliant,Bank Transfer
TXN030,CUST1029,2024-02-14,15500.00,0.18,Support Services,North,Pending,Credit Card
TXN031,CUST1030,2024-02-15,27000.00,0.18,Consulting,South,Compliant,Bank Transfer
TXN032,CUST1031,2024-02-16,9200.00,0.12,Training,East,Compliant,Cash
TXN033,CUST1032,2024-02-17,44000.00,0.18,Hardware,West,Compliant,Credit Card
TXN034,CUST1033,2024-02-18,33000.00,0.18,Software License,North,Non-Compliant,Bank Transfer
TXN035,CUST1034,2024-02-19,,0.18,Consulting,South,Compliant,Credit Card
TXN036,CUST1035,2024-02-20,17500.00,0.18,Support Services,East,Compliant,Bank Transfer
TXN037,CUST1036,2024-02-21,23000.00,0.18,Hardware,West,Pending,Credit Card
TXN038,CUST1037,2024-02-22,5900.00,0.12,Training,North,Compliant,Cash
TXN039,CUST1038,2024-02-23,39000.00,0.18,Software License,South,Compliant,Bank Transfer
TXN040,CUST1039,2024-02-24,29000.00,,Consulting,East,Compliant,Credit Card
TXN041,CUST1040,2024-02-25,13500.00,0.18,Hardware,West,Compliant,Bank Transfer
TXN042,CUST1041,2024-02-26,47000.00,0.18,Software License,North,Non-Compliant,Credit Card
TXN043,CUST1042,2024-02-27,8100.00,0.12,Training,South,Compliant,Cash
TXN044,CUST1043,2024-02-28,34000.00,0.18,Support Services,East,Compliant,Bank Transfer
TXN045,CUST1044,2024-02-29,20000.00,0.18,Hardware,West,Pending,Credit Card
TXN046,CUST1045,2024-03-01,26000.00,0.18,Consulting,North,Compliant,Bank Transfer
TXN047,CUST1046,2024-03-02,11500.00,0.18,Software License,South,Compliant,Credit Card
TXN048,CUST1047,2024-03-03,41000.00,0.18,Consulting,East,Compliant,Bank Transfer
TXN049,CUST1048,2024-03-04,7500.00,0.12,Training,West,Compliant,Cash
TXN050,CUST1049,2024-03-05,32000.00,0.18,Hardware,North,Non-Compliant,Credit Card
